人,"man/person/people/CL:個|个[ge4],位[wei4]",人,,rén,level1
口,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls",口,,kǒu,level1
一,"one/1/single/a (article)/as soon as/entire/whole/all/throughout/""one"" radical in Chinese characters (Kangxi radical 1)",一,,yī,level1
又,(once) again/also/both... and.../and yet/(used for emphasis) anyway,又,,yòu,level1
的,of/~'s (possessive particle)/(used after an attribute)/(used to form a nominal expression)/(used at the end of a declarative sentence for emphasis),的,,de,level1
日,"sun/day/date, day of the month/abbr. for 日本 Japan",日,,rì,level1
土,Tu (ethnic group)/surname Tu,土,,tǔ,level1
白,surname Bai,白,,bái,level1
木,surname Mu,木,,mù,level1
止,to stop/to prohibit/until/only,止,,zhǐ,level1
勺,"spoon/ladle/CL:把[ba3]/abbr. for 公勺[gong1 shao2], centiliter (unit of volume)",勺,,sháo,level1
大,big/huge/large/major/great/wide/deep/oldest/eldest,大,,dà,level1
月,"moon/month/CL:個|个[ge4],輪|轮[lun2]",月,,yuè,level1
水,surname Shui,水,,shuǐ,level1
手,"hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/CL:雙|双[shuang1],隻|只[zhi1]",手,,shǒu,level1
不,(negative prefix)/not/no,不,,bù,level1
八,eight/8,八,,bā,level1
言,words/speech/to say/to talk,言,,yán,level1
十,ten/10,十,,shí,level1
是,is/are/am/yes/to be,是,,shì,level1
咀,to chew/to masticate,咀,,jǔ,level1
心,"heart/mind/intention/centre/core/CL:顆|颗[ke1],個|个[ge4]",心,,xīn,level2
寸,a unit of length/inch/thumb,寸,,cùn,level2
也,surname Ye,也,,yě,level2
刀,surname Dao,刀,,dāo,level2
了,(of eyes) bright/clear-sighted/to understand clearly,瞭,,le,level2
女,female/woman/daughter,女,,nǚ,level2
力,surname Li,力,,lì,level2
足,excessive,足,,zú,level2
有,to have/there is/there are/to exist/to be,有,,yǒu,level2
子,"son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",子,,zǐ,level2
在,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress),在,,zài,level2
目,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,目,,mù,level2
中,China/Chinese/surname Zhong,中,,zhōng,level2
三,surname San,三,,sān,level2
