人,rén,"man/person/people/CL:個|个[ge4],位[wei4]",level1
人口,rénkǒu,population/people,level1
人人,rénrén,everyone/every person,level1
大人,dàrén,adult/grownup/title of respect toward superiors,level1
白人,báirén,white man or woman/Caucasian,level1
人手,rénshǒu,manpower/staff/human hand,level1
日人,rìrén,Japanese person/the Japanese,level1
口,kǒu,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls",level1
口水,kǒushuǐ,saliva,level1
一,yī,"one/1/single/a (article)/as soon as/entire/whole/all/throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit",level1
一一,yīyī,one by one/one after another,level1
不一,bùyī,to vary/to differ,level1
一手,yīshǒu,a skill/mastery of a trade/by oneself/without outside help,level1
又,yòu,(once) again/also/both... and.../and yet/(used for emphasis) anyway,level1
的,de,"of/~'s (possessive particle)/(used after an attribute)/(used to form a nominal expression)/(used at the end of a declarative sentence for emphasis)
see 的士[di1 shi4]
really and truly
aim/clear",level1
日,rì,"abbr. for 日本[Ri4 ben3], Japan
sun/day/date, day of the month",level1
土,tǔ,"Tu (ethnic group)/surname Tu
earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight ancient musical instruments 八音[ba1 yin1]",level1
土木,tǔmù,building/construction/civil engineering,level1
水土,shuǐtǔ,water and soil/surface water/natural environment (extended meaning)/climate,level1
白,bái,"surname Bai
white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera",level1
止,zhǐ,to stop/to prohibit/until/only,level1
不止,bùzhǐ,incessantly/without end/more than/not limited to,level1
大,dà,"big/huge/large/major/great/wide/deep/older (than)/oldest/eldest/greatly/very much/(dialect) father/father's elder or younger brother
see 大夫[dai4 fu5]",level1
不大,bùdà,not very/not too/not often,level1
月,yuè,"moon/month/monthly/CL:個|个[ge4],輪|轮[lun2]",level1
水,shuǐ,"surname Shui
water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes",level1
手,shǒu,"hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient/classifier for skill/CL:雙|双[shuang1],隻|只[zhi1]",level1
不,bù,(negative prefix)/not/no,level1
八,bā,eight/8,level1
言,yán,words/speech/to say/to talk,level1
十,shí,ten/10,level1
是,shì,"is/are/am/yes/to be
variant of 是[shi4]/(used in given names)",level1
中心,zhōngxīn,center/heart/core/CL:個|个[ge4],level2
心,xīn,"heart/mind/intention/center/core/CL:顆|颗[ke1],個|个[ge4]",level2
人心,rénxīn,popular feeling/the will of the people,level2
有心,yǒuxīn,to have a mind to/to intend to/deliberately/considerate,level2
心力,xīnlì,mental and physical efforts,level2
寸,cùn,a unit of length/inch/thumb,level2
也,yě,"surname Ye
also/too/(in Classical Chinese) final particle implying affirmation",level2
刀,dāo,"surname Dao
knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs",level2
刀子,dāozǐ,knife/CL:把[ba3],level2
了,le,"(modal particle intensifying preceding clause)/(completed action marker)
to finish/to achieve/variant of 瞭|了[liao3]/to understand clearly
(of eyes) bright/clear-sighted/to understand clearly
unofficial variant of 瞭[liao4]",level2
大不了,dàbùle,at worst/if worst comes to worst/serious/alarming,level2
女人,nǚrén,"woman
wife",level2
女,nǚ,"female/woman/daughter
archaic variant of 汝[ru3]",level2
女儿,nǚér,daughter,level2
子女,zǐnǚ,children/sons and daughters,level2
女子,nǚzǐ,woman/female,level2
儿女,érnǚ,children/sons and daughters,level2
人力,rénlì,manpower/labor power,level2
力,lì,"surname Li
power/force/strength/ability/strenuously",level2
大力,dàlì,energetically/vigorously,level2
有力,yǒulì,powerful/forceful/vigorous,level2
不足,bùzú,insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not,level2
十足,shízú,ample/complete/hundred percent/a pure shade (of some color),level2
手足,shǒuzú,"hands and feet/(fig.) brothers/retinue, henchmen, accomplices",level2
有,yǒu,to have/there is/there are/to exist/to be,level2
有的,yǒude,(there are) some (who are...)/some (exist),level2
儿子,érzǐ,son,level2
日子,rìzǐ,day/a (calendar) date/days of one's life,level2
王子,wángzǐ,prince/son of a king,level2
勺子,sháozǐ,scoop/ladle/CL:把[ba3],level2
在,zài,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress),level2
目的,mùde,purpose/aim/goal/target/objective/CL:個|个[ge4],level2
中,zhōng,"China/Chinese/surname Zhong
within/among/in/middle/center/while (doing sth)/during/(dialect) OK/all right
to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)",level2
三,sān,"surname San
three/3",level2
大三,dàsān,third-year university student,level2
王,wáng,"surname Wang
king or monarch/best or strongest of its type/grand/great
to rule/to reign over",level2
大王,dàwáng,"king/magnate/person having expert skill in something
robber baron (in opera, old stories)/magnate",level2
我,wǒ,I/me/my,level2
这儿,zhèér,here,level2
他,tā,he or him/(used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/other/another,level2
他人,tārén,another/sb else/other people,level2
上,shàng,"see 上聲|上声[shang3 sheng1]
on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university)",level2
这,zhè,"this/these/(commonly pr. [zhei4] before a classifier, esp. in Beijing)",level2
竹,zhú,"bamboo/CL:棵[ke1],支[zhi1],根[gen1]/Kangxi radical 118",level3
